dataset,seed,without_anatomical_variant,with_anatomical_variant,accuracy_without_anatomical,accuracy_with_anatomical,delta_accuracy_with_minus_without,macro_f1_without_anatomical,macro_f1_with_anatomical,delta_macro_f1_with_minus_without,without_only_correct,with_only_correct,mcnemar_p_value
asl_dataset,42,full_model_wo_anatomical_loss,full_model,0.8745874587458746,0.8943894389438944,0.0198019801980198,0.8661911648517195,0.8888648114049982,0.0226736465532786,3,9,0.14599609375
asl_dataset,1234,full_model_wo_anatomical_loss,full_model,0.9108910891089108,0.9273927392739274,0.0165016501650165,0.8970551605249024,0.9155714308738796,0.0185162703489771,1,6,0.125
asl_dataset,2024,full_model_wo_anatomical_loss,full_model,0.8943894389438944,0.8877887788778878,-0.0066006600660066,0.8873734015931269,0.8800495482485393,-0.0073238533445876,4,2,0.6875
asl_dataset,2025,full_model_wo_anatomical_loss,full_model,0.9174917491749176,0.9108910891089108,-0.0066006600660067,0.9140474498622588,0.9057403223086934,-0.0083071275535654,6,4,0.75390625
asl_dataset,3407,full_model_wo_anatomical_loss,full_model,0.8613861386138614,0.8547854785478548,-0.0066006600660065,0.8473639282728183,0.8369309665959379,-0.0104329616768803,4,2,0.6875
indian_sign_language,42,full_model_wo_anatomical_loss,full_model,0.9723691945914168,0.9735449735449736,0.0011757789535568,0.9677705304481315,0.9702411808950216,0.00247065044689,9,11,0.8238029479980469
indian_sign_language,1234,full_model_wo_anatomical_loss,full_model,0.9653145208700764,0.9559082892416224,-0.0094062316284539,0.9609149319500644,0.9495752502574638,-0.0113396816926005,25,9,0.009041185490787
indian_sign_language,2024,full_model_wo_anatomical_loss,full_model,0.9782480893592004,0.961199294532628,-0.0170487948265724,0.9750804171607976,0.955476659583538,-0.0196037575772596,36,7,8.963039363152348e-06
indian_sign_language,2025,full_model_wo_anatomical_loss,full_model,0.9653145208700764,0.9670781893004116,0.0017636684303351,0.9625017681832756,0.9652643395979552,0.0027625714146796,9,12,0.6636238098144531
indian_sign_language,3407,full_model_wo_anatomical_loss,full_model,0.969429747207525,0.9723691945914168,0.0029394473838918,0.9637649823183744,0.9667525055337036,0.0029875232153292,7,12,0.359283447265625
nus_hand_posture,42,full_model_wo_anatomical_loss,full_model,0.9347826086956522,0.9565217391304348,0.0217391304347825,0.9345598845598848,0.9564213564213564,0.0218614718614715,0,1,1.0
nus_hand_posture,1234,full_model_wo_anatomical_loss,full_model,0.9347826086956522,0.8695652173913043,-0.0652173913043479,0.9366161616161616,0.863924963924964,-0.0726911976911975,3,0,0.25
nus_hand_posture,2024,full_model_wo_anatomical_loss,full_model,0.9347826086956522,0.9130434782608696,-0.0217391304347825,0.9310245310245312,0.9028860028860028,-0.0281385281385283,2,1,1.0
nus_hand_posture,2025,full_model_wo_anatomical_loss,full_model,0.9347826086956522,0.8913043478260869,-0.0434782608695653,0.9344011544011546,0.8927344877344877,-0.0416666666666668,2,0,0.5
nus_hand_posture,3407,full_model_wo_anatomical_loss,full_model,0.9565217391304348,0.9565217391304348,0.0,0.9583333333333334,0.9583333333333334,0.0,0,0,1.0
asl_large_dataset,42,full_model_wo_anatomical_loss,full_model,0.9918335296427168,0.9923831959167648,0.000549666274048,0.990358656576046,0.9912102093817288,0.0008515528056827,12,19,0.2810415150597691
asl_large_dataset,1234,full_model_wo_anatomical_loss,full_model,0.9917550058892816,0.9912053396152336,-0.0005496662740479,0.9904828155651678,0.9898165116954968,-0.000666303869671,24,17,0.3488888794490776
asl_large_dataset,2024,full_model_wo_anatomical_loss,full_model,0.9926187671770712,0.992226148409894,-0.0003926187671772,0.9910208975486284,0.99065221125167,-0.0003686862969584,28,23,0.5758493477318467
asl_large_dataset,2025,full_model_wo_anatomical_loss,full_model,0.9923831959167648,0.990341578327444,-0.0020416175893208,0.9907968116714022,0.9887184734048936,-0.0020783382665086,42,16,0.0008617822405421
asl_large_dataset,3407,full_model_wo_anatomical_loss,full_model,0.9929328621908128,0.9925402434236356,-0.0003926187671772,0.9914951977410152,0.991096551586324,-0.0003986461546912,27,22,0.5681724128491652
