baseline_variant,seed,baseline_accuracy,full_accuracy,delta_accuracy_full_minus_baseline,both_correct,baseline_only_correct,full_only_correct,delta_correct_full_minus_baseline,direction,both_wrong,mcnemar_statistic_min_discordant,discordant_total,p_value,dataset
baseline_mlp,42,0.8547854785478548,0.8943894389438944,0.0396039603960396,258,1,13,12,full_model_better,31,1,14,0.0018310546875,asl_dataset
baseline_mlp,2024,0.8910891089108911,0.8877887788778878,-0.0033003300330033,259,11,10,-1,baseline_better,23,10,21,1.0,asl_dataset
baseline_mlp,2025,0.8844884488448845,0.9108910891089108,0.0264026402640263,265,3,11,8,full_model_better,24,3,14,0.057373046875,asl_dataset
baseline_mlp,3407,0.858085808580858,0.8547854785478548,-0.0033003300330032,255,5,4,-1,baseline_better,39,4,9,1.0,asl_dataset
baseline_mlp,1234,0.8679867986798679,0.9273927392739274,0.0594059405940594,260,3,21,18,full_model_better,19,3,24,0.0002771615982055,asl_dataset
baseline_svm,42,0.943894389438944,0.8943894389438944,-0.0495049504950494,271,15,0,-15,baseline_better,17,0,15,6.103515625e-05,asl_dataset
baseline_svm,2024,0.9636963696369636,0.8877887788778878,-0.0759075907590759,267,25,2,-23,baseline_better,9,2,27,5.647540092468262e-06,asl_dataset
baseline_svm,2025,0.9570957095709572,0.9108910891089108,-0.0462046204620462,271,19,5,-14,baseline_better,8,5,24,0.0066107511520385,asl_dataset
baseline_svm,3407,0.9372937293729372,0.8547854785478548,-0.0825082508250825,255,29,4,-25,baseline_better,15,4,33,1.0928604751825333e-05,asl_dataset
baseline_svm,1234,0.9471947194719472,0.9273927392739274,-0.0198019801980198,275,12,6,-6,baseline_better,10,6,18,0.237884521484375,asl_dataset
baseline_pointnet,42,0.7326732673267327,0.8943894389438944,0.1617161716171617,218,4,53,49,full_model_better,28,4,57,5.910882894255565e-12,asl_dataset
baseline_pointnet,2024,0.66996699669967,0.8877887788778878,0.2178217821782178,198,5,71,66,full_model_better,29,5,76,5.249233110119942e-16,asl_dataset
baseline_pointnet,2025,0.7062706270627063,0.9108910891089108,0.2046204620462046,212,2,64,62,full_model_better,25,2,66,5.995638013844841e-17,asl_dataset
baseline_pointnet,3407,0.7392739273927392,0.8547854785478548,0.1155115511551155,214,10,45,35,full_model_better,34,10,55,2.057264515520352e-06,asl_dataset
baseline_pointnet,1234,0.7161716171617162,0.9273927392739274,0.2112211221122112,215,2,66,64,full_model_better,20,2,68,1.5903890617646746e-17,asl_dataset
baseline_gcn,42,0.8283828382838284,0.8943894389438944,0.066006600660066,251,0,20,20,full_model_better,32,0,20,1.9073486328125e-06,asl_dataset
baseline_gcn,2024,0.8844884488448845,0.8877887788778878,0.0033003300330032,259,9,10,1,full_model_better,25,9,19,1.0,asl_dataset
baseline_gcn,2025,0.8910891089108911,0.9108910891089108,0.0198019801980198,266,4,10,6,full_model_better,23,4,14,0.1795654296875,asl_dataset
baseline_gcn,3407,0.858085808580858,0.8547854785478548,-0.0033003300330032,253,7,6,-1,baseline_better,37,6,13,1.0,asl_dataset
baseline_gcn,1234,0.8877887788778878,0.9273927392739274,0.0396039603960396,267,2,14,12,full_model_better,20,2,16,0.004180908203125,asl_dataset
baseline_transformer_lite,42,0.9306930693069309,0.8943894389438944,-0.0363036303630363,270,12,1,-11,baseline_better,20,1,13,0.00341796875,asl_dataset
baseline_transformer_lite,2024,0.943894389438944,0.8877887788778878,-0.0561056105610561,265,21,4,-17,baseline_better,13,4,25,0.0009105205535888,asl_dataset
baseline_transformer_lite,2025,0.9471947194719472,0.9108910891089108,-0.0363036303630363,272,15,4,-11,baseline_better,12,4,19,0.0192108154296875,asl_dataset
baseline_transformer_lite,3407,0.9042904290429042,0.8547854785478548,-0.0495049504950494,257,17,2,-15,baseline_better,27,2,19,0.0007286071777343,asl_dataset
baseline_transformer_lite,1234,0.9372937293729372,0.9273927392739274,-0.0099009900990099,274,10,7,-3,baseline_better,12,7,17,0.629058837890625,asl_dataset
baseline_mlp,42,0.9659024103468548,0.9735449735449736,0.0076425631981187,1634,9,22,13,full_model_better,36,9,31,0.0294493734836578,indian_sign_language
baseline_mlp,2024,0.9594356261022928,0.961199294532628,0.0017636684303351,1615,17,20,3,full_model_better,49,17,37,0.7428293587290682,indian_sign_language
baseline_mlp,2025,0.9570840681951792,0.9670781893004116,0.0099941211052322,1620,8,25,17,full_model_better,48,8,33,0.0045513841323554,indian_sign_language
baseline_mlp,3407,0.9576719576719576,0.9723691945914168,0.0146972369194591,1618,11,36,25,full_model_better,36,11,47,0.0003460011403149,indian_sign_language
baseline_mlp,1234,0.9506172839506172,0.9559082892416224,0.0052910052910052,1601,16,25,9,full_model_better,59,16,41,0.2110235976088006,indian_sign_language
baseline_svm,42,0.982363315696649,0.9735449735449736,-0.0088183421516755,1648,23,8,-15,baseline_better,22,8,31,0.0106738405302166,indian_sign_language
baseline_svm,2024,0.9817754262198708,0.961199294532628,-0.0205761316872428,1627,43,8,-35,baseline_better,23,8,51,6.867117736675254e-07,indian_sign_language
baseline_svm,2025,0.9753086419753086,0.9670781893004116,-0.008230452674897,1632,27,13,-14,baseline_better,29,13,40,0.0384773082842002,indian_sign_language
baseline_svm,3407,0.980599647266314,0.9723691945914168,-0.008230452674897,1648,20,6,-14,baseline_better,27,6,26,0.0093553066253662,indian_sign_language
baseline_svm,1234,0.9782480893592004,0.9559082892416224,-0.0223398001175779,1619,45,7,-38,baseline_better,30,7,52,6.973810151578165e-08,indian_sign_language
baseline_pointnet,42,0.9494415049970606,0.9735449735449736,0.0241034685479129,1603,12,53,41,full_model_better,33,12,65,2.786234342464335e-07,indian_sign_language
baseline_pointnet,2024,0.948853615520282,0.961199294532628,0.0123456790123457,1592,22,43,21,full_model_better,44,22,65,0.0125025461364898,indian_sign_language
baseline_pointnet,2025,0.9482657260435038,0.9670781893004116,0.0188124632569077,1603,10,42,32,full_model_better,46,10,52,9.063271916964766e-06,indian_sign_language
baseline_pointnet,3407,0.958259847148736,0.9723691945914168,0.0141093474426807,1617,13,37,24,full_model_better,34,13,50,0.0009362229108518,indian_sign_language
baseline_pointnet,1234,0.9512051734273956,0.9559082892416224,0.0047031158142268,1592,26,34,8,full_model_better,49,26,60,0.366294006703291,indian_sign_language
baseline_gcn,42,0.9623750734861846,0.9735449735449736,0.0111699000587889,1632,5,24,19,full_model_better,40,5,29,0.0005461126565933,indian_sign_language
baseline_gcn,2024,0.969429747207525,0.961199294532628,-0.008230452674897,1618,31,17,-14,baseline_better,35,17,48,0.0594633752537703,indian_sign_language
baseline_gcn,2025,0.9541446208112876,0.9670781893004116,0.012933568489124,1616,7,29,22,full_model_better,49,7,36,0.000312551157549,indian_sign_language
baseline_gcn,3407,0.9600235155790712,0.9723691945914168,0.0123456790123456,1623,10,31,21,full_model_better,37,10,41,0.0014504910141113,indian_sign_language
baseline_gcn,1234,0.9547325102880658,0.9559082892416224,0.0011757789535566,1607,17,19,2,full_model_better,58,17,36,0.8679394004284404,indian_sign_language
baseline_transformer_lite,42,0.980599647266314,0.9735449735449736,-0.0070546737213403,1651,17,5,-12,baseline_better,28,5,22,0.0169005393981933,indian_sign_language
baseline_transformer_lite,2024,0.97119341563786,0.961199294532628,-0.0099941211052322,1621,31,14,-17,baseline_better,35,14,45,0.0160943600312748,indian_sign_language
baseline_transformer_lite,2025,0.9717813051146384,0.9670781893004116,-0.0047031158142268,1637,16,8,-8,baseline_better,40,8,24,0.1515896320343017,indian_sign_language
baseline_transformer_lite,3407,0.9764844209288652,0.9723691945914168,-0.0041152263374485,1646,15,8,-7,baseline_better,32,8,23,0.2100396156311035,indian_sign_language
baseline_transformer_lite,1234,0.9747207524985304,0.9559082892416224,-0.0188124632569077,1616,42,10,-32,baseline_better,33,10,52,9.063271916964766e-06,indian_sign_language
baseline_mlp,42,0.9130434782608696,0.9565217391304348,0.0434782608695653,42,0,2,2,full_model_better,2,0,2,0.5,nus_hand_posture
baseline_mlp,2024,0.7608695652173914,0.9130434782608696,0.1521739130434781,33,2,9,7,full_model_better,2,2,11,0.0654296875,nus_hand_posture
baseline_mlp,2025,0.782608695652174,0.8913043478260869,0.1086956521739129,34,2,7,5,full_model_better,3,2,9,0.1796875,nus_hand_posture
baseline_mlp,3407,0.8260869565217391,0.9565217391304348,0.1304347826086956,38,0,6,6,full_model_better,2,0,6,0.03125,nus_hand_posture
baseline_mlp,1234,0.9347826086956522,0.8695652173913043,-0.0652173913043479,39,4,1,-3,baseline_better,2,1,5,0.375,nus_hand_posture
baseline_svm,42,1.0,0.9565217391304348,-0.0434782608695651,44,2,0,-2,baseline_better,0,0,2,0.5,nus_hand_posture
baseline_svm,2024,1.0,0.9130434782608696,-0.0869565217391304,42,4,0,-4,baseline_better,0,0,4,0.125,nus_hand_posture
baseline_svm,2025,1.0,0.8913043478260869,-0.108695652173913,41,5,0,-5,baseline_better,0,0,5,0.0625,nus_hand_posture
baseline_svm,3407,1.0,0.9565217391304348,-0.0434782608695651,44,2,0,-2,baseline_better,0,0,2,0.5,nus_hand_posture
baseline_svm,1234,1.0,0.8695652173913043,-0.1304347826086956,40,6,0,-6,baseline_better,0,0,6,0.03125,nus_hand_posture
baseline_pointnet,42,0.7391304347826086,0.9565217391304348,0.2173913043478261,33,1,11,10,full_model_better,1,1,12,0.00634765625,nus_hand_posture
baseline_pointnet,2024,0.3478260869565217,0.9130434782608696,0.5652173913043478,14,2,28,26,full_model_better,2,2,30,8.67992639541626e-07,nus_hand_posture
baseline_pointnet,2025,0.8695652173913043,0.8913043478260869,0.0217391304347825,36,4,5,1,full_model_better,1,4,9,1.0,nus_hand_posture
baseline_pointnet,3407,0.7391304347826086,0.9565217391304348,0.2173913043478261,34,0,10,10,full_model_better,2,0,10,0.001953125,nus_hand_posture
baseline_pointnet,1234,0.5,0.8695652173913043,0.3695652173913043,22,1,18,17,full_model_better,5,1,19,7.62939453125e-05,nus_hand_posture
baseline_gcn,42,0.782608695652174,0.9565217391304348,0.1739130434782608,35,1,9,8,full_model_better,1,1,10,0.021484375,nus_hand_posture
baseline_gcn,2024,0.782608695652174,0.9130434782608696,0.1304347826086955,36,0,6,6,full_model_better,4,0,6,0.03125,nus_hand_posture
baseline_gcn,2025,0.717391304347826,0.8913043478260869,0.1739130434782608,32,1,9,8,full_model_better,4,1,10,0.021484375,nus_hand_posture
baseline_gcn,3407,0.7608695652173914,0.9565217391304348,0.1956521739130434,35,0,9,9,full_model_better,2,0,9,0.00390625,nus_hand_posture
baseline_gcn,1234,0.6304347826086957,0.8695652173913043,0.2391304347826086,27,2,13,11,full_model_better,4,2,15,0.00738525390625,nus_hand_posture
baseline_transformer_lite,42,0.782608695652174,0.9565217391304348,0.1739130434782608,36,0,8,8,full_model_better,2,0,8,0.0078125,nus_hand_posture
baseline_transformer_lite,2024,0.9130434782608696,0.9130434782608696,0.0,42,0,0,0,tie,4,0,0,1.0,nus_hand_posture
baseline_transformer_lite,2025,0.9130434782608696,0.8913043478260869,-0.0217391304347825,40,2,1,-1,baseline_better,3,1,3,1.0,nus_hand_posture
baseline_transformer_lite,3407,0.9565217391304348,0.9565217391304348,0.0,44,0,0,0,tie,2,0,0,1.0,nus_hand_posture
baseline_transformer_lite,1234,0.8478260869565217,0.8695652173913043,0.0217391304347825,36,3,4,1,full_model_better,3,3,7,1.0,nus_hand_posture
baseline_mlp,42,0.9886925795053004,0.9923831959167648,0.0036906164114645,12570,21,68,47,full_model_better,76,21,89,5.986670828041249e-07,asl_large_dataset
baseline_mlp,2024,0.99144091087554,0.992226148409894,0.0007852375343541,12606,20,30,10,full_model_better,79,20,50,0.2026387510645406,asl_large_dataset
baseline_mlp,2025,0.9905771495877504,0.990341578327444,-0.0002355712603062,12582,33,30,-3,baseline_better,90,30,63,0.8013064925040663,asl_large_dataset
baseline_mlp,3407,0.9902630545740086,0.9925402434236356,0.002277188849627,12591,20,49,29,full_model_better,75,20,69,0.0006361729964503,asl_large_dataset
baseline_mlp,1234,0.9902630545740086,0.9912053396152336,0.0009422850412249,12590,21,33,12,full_model_better,91,21,54,0.1336742353641052,asl_large_dataset
baseline_svm,42,0.9938751472320376,0.9923831959167648,-0.0014919513152729,12618,39,20,-19,baseline_better,58,20,59,0.0183370877791019,asl_large_dataset
baseline_svm,2024,0.993561052218296,0.992226148409894,-0.001334903808402,12615,38,21,-17,baseline_better,61,21,59,0.0363431799570538,asl_large_dataset
baseline_svm,2025,0.9920691009030232,0.990341578327444,-0.001727522575579,12583,51,29,-22,baseline_better,72,29,80,0.0183160975169163,asl_large_dataset
baseline_svm,3407,0.9937180997251668,0.9925402434236356,-0.0011778563015312,12615,40,25,-15,baseline_better,55,25,65,0.08168153394154,asl_large_dataset
baseline_svm,1234,0.994110718492344,0.9912053396152336,-0.0029053788771102,12606,54,17,-37,baseline_better,58,17,71,1.2526823964854767e-05,asl_large_dataset
baseline_pointnet,42,0.960188457008245,0.9923831959167648,0.0321947389085198,12213,15,425,410,full_model_better,82,15,440,1.9672274615378048e-105,asl_large_dataset
baseline_pointnet,2024,0.9681193561052218,0.992226148409894,0.0241067923046721,12308,21,328,307,full_model_better,78,21,349,4.948800063655974e-72,asl_large_dataset
baseline_pointnet,2025,0.9707106399685904,0.990341578327444,0.0196309383588535,12333,29,279,250,full_model_better,94,29,308,1.825947823764541e-52,asl_large_dataset
baseline_pointnet,3407,0.9676482135846094,0.9925402434236356,0.0248920298390262,12300,23,340,317,full_model_better,72,23,363,1.6352237564598982e-73,asl_large_dataset
baseline_pointnet,1234,0.969454259913624,0.9912053396152336,0.0217510797016097,12328,18,295,277,full_model_better,94,18,313,1.006647890779148e-65,asl_large_dataset
baseline_gcn,42,0.9879858657243816,0.9923831959167648,0.0043973301923831,12566,16,72,56,full_model_better,81,16,88,1.1915233414863412e-09,asl_large_dataset
baseline_gcn,2024,0.989948959560267,0.992226148409894,0.002277188849627,12588,19,48,29,full_model_better,80,19,67,0.0005216127568115,asl_large_dataset
baseline_gcn,2025,0.9893207695327836,0.990341578327444,0.0010208087946603,12567,32,45,13,full_model_better,91,32,77,0.1710609735539115,asl_large_dataset
baseline_gcn,3407,0.9896348645465252,0.9925402434236356,0.0029053788771103,12580,23,60,37,full_model_better,72,23,83,5.973595638605141e-05,asl_large_dataset
baseline_gcn,1234,0.9881429132312524,0.9912053396152336,0.0030624263839811,12566,18,57,39,full_model_better,94,18,75,7.244156513774458e-06,asl_large_dataset
baseline_transformer_lite,42,0.9924617196702002,0.9923831959167648,-7.852375343542217e-05,12606,33,32,-1,baseline_better,64,32,65,1.0,asl_large_dataset
baseline_transformer_lite,2024,0.9939536709854732,0.992226148409894,-0.0017275225755791,12617,41,19,-22,baseline_better,58,19,60,0.0062176026593266,asl_large_dataset
baseline_transformer_lite,2025,0.9940321947389084,0.990341578327444,-0.0036906164114643,12600,59,12,-47,baseline_better,64,12,71,1.3477668518977772e-08,asl_large_dataset
baseline_transformer_lite,3407,0.994110718492344,0.9925402434236356,-0.0015704750687082,12623,37,17,-20,baseline_better,58,17,54,0.0090733403395871,asl_large_dataset
baseline_transformer_lite,1234,0.9945818610129564,0.9912053396152336,-0.0033765213977228,12614,52,9,-43,baseline_better,60,9,61,1.8028023783880912e-08,asl_large_dataset
